latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.80183,-80.10732,295.22,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.51,0.63,N
42.80682,-80.10244,318.01,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.7,1.69,N
42.80705,-80.10674,295.64,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,279.9,1.41,N
42.81181,-80.09758,300.6,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.2,1.69,N
42.81203,-80.10186,324.66,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,282.65,1.69,N
42.81227,-80.10614,298.89,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,279.09,1.41,N
42.81702,-80.09702,322.09,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.86,1.54,N
42.94315,-82.42242,297.65,0.45,0.63,2025-10-12,629,N20,VIIRS,n,2.0NRT,279.29,1.47,N
42.94766,-82.42027,305.61,0.46,0.63,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.75,1.17,N
42.97007,-81.87185,295.2,0.43,0.62,2025-10-12,629,N20,VIIRS,n,2.0NRT,280.21,0.58,N
43.07167,-80.86288,299.32,0.38,0.59,2025-10-12,629,N20,VIIRS,n,2.0NRT,280.46,0.6,N
43.26077,-79.81078,318.78,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,283.44,1.52,N
43.26593,-79.81022,326.16,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,286.49,1.3,N
43.27087,-79.80544,301.76,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,283.85,1.3,N
43.27109,-79.80962,316.9,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,285.91,1.3,N
43.27559,-79.79658,307.13,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,285.02,1.3,N
43.27581,-79.80075,316.03,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,283.07,1.3,N
43.29078,-79.98832,309.42,0.34,0.56,2025-10-12,629,N20,VIIRS,n,2.0NRT,282.35,1.05,N
43.49275,-79.6272,298.91,0.33,0.55,2025-10-12,629,N20,VIIRS,n,2.0NRT,283.63,0.99,N
45.0713,-83.41115,318.99,0.52,0.67,2025-10-12,629,N20,VIIRS,n,2.0NRT,284.34,2.89,N
45.07308,-83.40849,317.66,0.52,0.67,2025-10-12,629,N20,VIIRS,n,2.0NRT,286.06,2.82,N
45.11143,-73.01495,300.37,0.51,0.41,2025-10-12,629,N20,VIIRS,n,2.0NRT,279.26,1.36,N
45.30391,-74.99333,303.87,0.41,0.45,2025-10-12,629,N20,VIIRS,n,2.0NRT,276.14,0.98,N
45.34121,-73.5271,298.93,0.53,0.42,2025-10-12,629,N20,VIIRS,n,2.0NRT,281.15,0.86,N
37.01054,-86.42942,304.08,0.69,0.74,2025-10-12,631,N20,VIIRS,n,2.0NRT,284.08,1.81,N
37.01055,-86.42995,305.53,0.69,0.74,2025-10-12,631,N20,VIIRS,n,2.0NRT,284.21,1.56,N
37.01068,-86.43769,299.2,0.69,0.74,2025-10-12,631,N20,VIIRS,n,2.0NRT,283.68,1.56,N
37.01071,-86.43713,300.37,0.69,0.74,2025-10-12,631,N20,VIIRS,n,2.0NRT,283.88,1.83,N
